,labels,ebitdaMargins,profitMargins,grossMargins,revenueGrowth,earningsGrowth,returnOnAssets,debtToEquity,returnOnEquity,returns,volatility,returns_to_volatility
Microsoft,1,0.48648998,0.38515,0.68864995,0.22,0.489,0.14589,51.938,0.49303,-5.098392223181502,5.462376674722388,-0.9333651863985772
Amazon,2,0.13382,0.06641,0.40679002,0.272,0.468,0.05988,107.355,0.31229,3.7363562082265434,2.5812199862557064,1.4475156042962718
Tesla,1,0.15512,0.07403,0.23107,0.568,4.333,0.055370003,35.65,0.15641,-4.506807847797112,40.84908386152167,-0.11032824782742211
Netflix,2,0.21635,0.14243001,0.41098,0.242,1.389,0.092889994,137.684,0.35307,4.210723399834193,3.9741267568372383,1.0595342467599718
Mastercard,0,0.57505,0.45497,1,0.299,0.616,0.17801,203.778,1.2762,1.998875596065175,2.1899644540660494,0.9127433974345635
American Express,2,0,0.18895,0.7108,0.375,0.745,0.04188,150.569,0.33606,2.0419702973239584,1.7687271031592726,1.154485784537718
Nestle,2,0.19714001,0.14412,0.4938,0.015,0.034,0.07269,96.83,0.27106002,-1.410071242075528,1.3788125835767329,-1.0226707087468756
PepsiCo,0,0.18371001,0.11005,0.54295,0.205,0.441,0.08035,274.698,0.59039,-3.774907474367406,3.5545571787807937,-1.0619909272811845
Uilever,2,0.20252001,0.10665,0.43535998,0.003,-0.048,0.081,141.539,0.31462,-8.512367200354332,13.191252001379342,-0.6453039635255423
Monster,1,0.34689,0.2876,0.57065,0.132,-0.031,0.16991,0.318,0.28101,1.1200938409698047,1.5716036330366767,0.7127075920571284
Hershey,0,0.26354,0.16232,0.45356998,0.063,0,0.13493,185.261,0.62283003,2.2980540706790897,3.115563249786156,0.737604691811929
Abbott,1,0.29229,0.17122,0.5685,0.234,0.696,0.0774,53.112,0.21862,1.1852397545554894,0.6797351429065212,1.743678794489645
ResMed,1,0.32056,0.14923,0.58412,0.202,0.139,0.12869,31.398,0.1752,0.9547432353156804,2.3199354789500095,0.41153870182104896
Bio-Rad Laboratories,1,0.25469,2.23474,0.57827,0.154,1.978,0.02434,1.469,0.55127,-3.485028681394098,0.3933950928749205,-8.858851430823918
Pfizer,1,0.36238,0.24001,0.76658994,0.446,0.443,0.04603,57.648,0.14031,-0.17304394441910453,0.4587542605349426,-0.37720400507522706
